layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
stem.0,Conv2d,-8.44413,9.35472,9.35472,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
stem.1,BatchNorm2d,-64.41502,65.16547,65.16547,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
stem.2,SiLU,-0.27846,65.16547,65.16547,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
stem,Sequential,-0.27846,65.16547,65.16547,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_1.pw_expand.0,Conv2d,-79.56577,34.14492,79.56577,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_1.pw_expand.1,BatchNorm2d,-476.36874,230.39098,476.36874,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_1.pw_expand.2,SiLU,-0.27846,230.39098,230.39098,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1.pw_expand,Sequential,-0.27846,230.39098,230.39098,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1.dw_conv.0,Conv2d,-182.69794,56.12319,182.69794,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1.dw_conv.1,BatchNorm2d,-237.07834,267.9249,267.9249,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_1.dw_conv.2,SiLU,-0.27846,267.9249,267.9249,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_1.dw_conv,Sequential,-0.27846,267.9249,267.9249,10,22,2.384185791015625e-07,512.0,False,Q9.22,32
mv2_1.pw_project.0,Conv2d,-112.21387,138.20685,138.20685,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1.pw_project.1,BatchNorm2d,-107.06354,172.27597,172.27597,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1.pw_project,Sequential,-107.06354,172.27597,172.27597,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_1,MV2,-107.05663,172.31914,172.31914,9,23,1.1920928955078125e-07,256.0,False,Q8.23,32
mv2_2a.pw_expand.0,Conv2d,-82.60538,116.22527,116.22527,8,24,5.960464477539063e-08,128.0,False,Q7.24,32
mv2_2a.pw_expand.1,BatchNorm2d,-778.74377,724.01953,778.74377,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_2a.pw_expand.2,SiLU,-0.27846,724.01953,724.01953,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
