layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.conv_stem.convolution,Conv2d,-3.43501,3.83364,3.83364,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.conv_stem.normalization,BatchNorm2d,-15.48044,15.62034,15.62034,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.conv_stem.activation,SiLUActivation,-0.27846,15.62033,15.62033,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.conv_stem,MobileViTConvLayer,-0.27846,15.62033,15.62033,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.0.layer.0.expand_1x1.convolution,Conv2d,-18.75782,8.57227,18.75782,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.0.layer.0.expand_1x1.normalization,BatchNorm2d,-109.33463,56.9442,109.33463,8,8,0.00390625,127.99609,False,Q7.8,16
mobilevit.encoder.layer.0.layer.0.expand_1x1.activation,SiLUActivation,-0.27846,56.9442,56.9442,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.expand_1x1,MobileViTConvLayer,-0.27846,56.9442,56.9442,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.conv_3x3.convolution,Conv2d,-43.4486,13.85121,43.4486,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.conv_3x3.normalization,BatchNorm2d,-48.70224,42.9829,48.70224,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.conv_3x3.activation,SiLUActivation,-0.27846,42.9829,42.9829,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.conv_3x3,MobileViTConvLayer,-0.27846,42.9829,42.9829,7,9,0.001953125,63.99805,False,Q6.9,16
mobilevit.encoder.layer.0.layer.0.reduce_1x1.convolution,Conv2d,-10.8285,16.05662,16.05662,6,10,0.0009765625,31.99902,False,Q5.10,16
mobilevit.encoder.layer.0.layer.0.reduce_1x1.normalization,BatchNorm2d,-11.32208,11.25039,11.32208,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.0.layer.0.reduce_1x1,MobileViTConvLayer,-11.32208,11.25039,11.32208,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.0.layer.0,MobileViTInvertedResidual,-8.6276,11.81964,11.81964,5,11,0.00048828125,15.99951,False,Q4.11,16
